// Prazos de submissão, conferidos à mão na página oficial de cada evento.
//
// O calendário da SBC (qualis/sbc_calendario.py) dá data, cidade e link, mas
// NÃO tem prazo de submissão — ele só existe no site de cada evento. Como prazo
// errado faz alguém perder uma submissão, cada linha registra a URL onde a data
// foi lida e o dia em que foi conferida, e o site mostra isso.
//
// Só entra prazo lido em página oficial do evento. Se a fonte for secundária
// (snippet de busca, terceiros), deixe em branco — melhor vazio que errado.
//
// `inicio`/`fim` só precisam ser preenchidos para evento que NÃO esteja no
// calendário da SBC; caso contrário a data vem de lá.
sigla,nome,edicao,inicio,fim,cidade,prazo,url,conferido,observacao
LADC,Latin-American Symposium on Dependable and Secure Computing,15,2026-11-24,2026-11-27,Salvador/BA,2026-08-02,https://ladc.sbc.org.br/2026/call-for-papers/,2026-08-01,manuscrito; o registro do artigo venceu em 31/07
SSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,27,2026-11-03,2026-11-05,Natal/RN,2026-08-07,https://sscad2026.imd.ufrn.br/cfp/,2026-08-01,antes chamado WSCAD
SIBGRAPI,Conference on Graphics Patterns and Images,39,2026-09-29,2026-10-02,Goiânia/GO,2026-08-08,https://sibgrapi.sbc.org.br/2026/,2026-08-01,prazo dos workshops WUW e WIA; trilha principal encerrada
SBQS,Simpósio Brasileiro de Qualidade de Software,25,2026-11-10,2026-11-13,Maringá/PR,2026-08-17,https://sbqs.sbc.org.br/2026/,2026-08-01,WTDQS: resumo 10/08 e artigo 17/08; trilha principal encerrada
BSB,Brazilian Symposium on Bioinformatics,19,2026-11-30,2026-12-02,Ribeirão Preto/SP,2026-08-11,https://bsb.sbc.org.br/2026/,2026-08-01,artigos completos e curtos; pôsteres até 31/10
SBMF,Brazilian Symposium on Formal Methods,29,2026-12-01,2026-12-04,Rio de Janeiro/RJ,2026-08-14,https://sbmf2026.github.io/,2026-08-01,prazo prorrogado
