// Gerado por `qualis coletar-eventos`. Edite à mão se precisar:
// linhas iniciadas por // são ignoradas, e a coluna h5 vence.
// h5_fonte=scholar é o dado que o Documento de Área manda usar;
// h5_fonte=sbc-2024 é a coluna da planilha da SBC, que está
// desatualizada e serve só como referência.
// ambiguo=1: o Scholar tem mais de uma entrada para o evento,
// com h5 diferentes; ficamos com o maior. Confira esses casos.
// anos_tradicao fica vazio: não há fonte verificável em massa.
sigla,nome,h5,ce_sbc,anos_tradicao,segue_gt_capes,h5_fonte,h5_sbc,ambiguo,ces,entradas_scholar
DATE,"Design, Automation and Test in Europe Conference and Exhibition",46,top10,,1,scholar,46,1,CE-BD|CE-CCI|CE-ESC,"Design, Automation & Test in Europe Conference & Exhibition, DATE (h5=46) || thersites. Journal for Transcultural Presences & Diachronic Identities from Antiquity to Date (h5=2)"
DAWAK,International Conference on Big Data Analytics and Knowledge Discovery,13,relevante,,1,scholar,12,0,CE-BD,Data Warehousing and Knowledge Discovery (DaWaK) (h5=13)
DBSec,IFIP WG 11.3 Conference on Data and Applications Security and Privacy,14,relevante,,1,scholar,15,0,CE-SEG,International conference on Data and Applications Security and Privacy (h5=14)
DCASE,Workshop on Detection and Classification of Acoustic Scenes and Events,32,relevante,,1,scholar,,0,CE-CM,Detection and Classification of Acoustic Scenes and Events (h5=32)
DCOSS,International Conference on Distributed Computing in Sensor Systems,22,relevante,,1,scholar,21,0,CE-RESD,IEEE International Conference on Distributed Computing in Sensor Systems (h5=22)
DDECS,IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems,12,relevante,,1,scholar,10,0,CE-ACPAD|CE-CCI,IEEE International Symposium on Design and Diagnostics of Electronic Circuits & Systems (h5=12)
DEBS,International Conference on Distributed and Event-Based Systems,,relevante,,1,nenhum,18,0,CE-RESD,
DEPCOS,International Conference on Dependability of Computer Systems,,relevante,,1,nenhum,9,0,CE-TF,
DEXA,Conference on Database and Expert Systems Applications,16,top20,,1,scholar,15,0,CE-BD,Database and Expert Systems Applications (DEXA) (h5=16)
DFT,IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems,,top20,,1,nenhum,15,0,CE-TF,
DFTVS,IEEE International Symposium on Defect and Fault Tolerance of VLSI Systems,16,relevante,,1,scholar,15,0,CE-CCI,"IEEE International Symposium on Defect and Fault Tolerance of VLSI Systems, DFTVS (h5=16)"
DG.O,Annual International Conference on Digital Government Research,24,top20,,1,scholar,27,0,CE-IHC|CE-SI,Annual International Conference on Digital Government Research (h5=24)
DGMM,Discrete Geometry and Mathematical Morphology (DGMM = DGCI+ISMM desde 2021),,top10,,1,nenhum,21,0,CE-GRAPI,
DGO,Annual International Conference on Digital Government Research,24,relevante,,1,scholar,25,0,CE-BD,Annual International Conference on Digital Government Research (h5=24)
DH,Digital Heritage,,relevante,,1,nenhum,10,0,CE-SI,
DICTA,International Conference on Digital Image Computing Techniques and Applications,17,relevante,,1,scholar,20,0,CE-GRAPI,International Conference on Digital Image Computing Techniques and Applications (DICTA) (h5=17)
DiGRA,Digital Games Research Association International Conference,14,top20,,1,scholar,,0,CE-JOGOS,DiGRA International Conference (h5=14)
DIS,ACM Designing Interactive Systems,54,top10,,1,scholar,49,0,CE-IHC|CE-RV,ACM Designing Interactive Systems Conference (h5=54)
DISC,International Symposium on DIStributed Computing,23,top10,,1,scholar,22,1,CE-RESD|CE-TF,International Symposium on Distributed Computing (DISC) (h5=23) || Distributed Computing (h5=22)
DLS,Dynamic Languages Symposium,,relevante,,1,nenhum,6,0,CE-LP,
DM,SIAM Conference on Discrete Mathematics,30,relevante,,1,scholar,,1,CE-ACO,Discrete Mathematics (h5=30) || SIAM Journal on Discrete Mathematics (h5=27)
DMIN,International Conference on Data Mining,49,relevante,,1,scholar,50,0,CE-IA,IEEE International Conference on Data Mining (h5=49)
DOCENG,ACM Symposium on Document Engineering,14,relevante,,1,scholar,13,0,CE-BD|CE-IHC,ACM Symposium on Document Engineering (h5=14)
DOING,Intelligent Data - From Data to Knowledge Workshop,,relevante,,1,nenhum,,0,CE-BD,
DOLAP,International Workshop On Data Warehousing and OLAP,,relevante,,1,nenhum,,0,CE-BD,
DPM,International Workshop on Data Privacy Management,,relevante,,1,nenhum,,0,CE-BD,
DRCN,International Conference on the Design of Reliable Communication Networks,,relevante,,1,nenhum,12,0,CE-ESC|CE-RESD,
DS-RT,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,14,relevante,,1,scholar,14,0,CE-ESC,"IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications, DR-RT (h5=14)"
DSAA,IEEE International Conference on Data Science and Advanced Analytics,27,relevante,,1,scholar,26,0,CE-BD|CE-SI,IEEE International Conference on Data Science and Advanced Analytics (DSAA) (h5=27)
DSAI,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,,relevante,,1,nenhum,8,0,CE-IHC,
DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",20,top20,,1,scholar,18,0,CE-ACPAD|CE-CCI|CE-ESC,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools, DSD (h5=20)"
DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,35,top10,,1,scholar,37,0,CE-ESC|CE-RESD|CE-TF,IEEE/IFIP International Conference on Dependable Systems and Networks (h5=35)
DSNW,IEEE International Conference on Dependable Systems and Networks Workshops,,relevante,,1,nenhum,25,0,CE-TF,
DSP,International Conference on Digital Signal Processing,49,relevante,,1,scholar,7,1,CE-CCI,Digital Signal Processing (h5=49) || International Conference on Digital Signal Processing (h5=8)
DSW,Dataset Showcase Workshop,,relevante,,1,nenhum,,0,CE-BD,
DySPAN,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,12,relevante,,1,scholar,21,0,CE-RESD,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks (h5=12)
E-Learning,IADIS International Conference on e-Learning,,relevante,,1,nenhum,,0,CE-IE,
EACL,Conference of the European Chapter of the Association for Computational Linguistics,77,top10,,1,scholar,56,0,CE-IA|CE-PLN,Conference of the European Chapter of the Association for Computational Linguistics (EACL) (h5=77)
EASE,International Conference on Evaluation and Assessment in Software Engineering,31,relevante,,1,scholar,25,0,CE-ES,International Conference on Evaluation and Assessment in Software Engineering (h5=31)
EATIS,Euro American Conference on Telematics and Information Systems,6,top20,,1,scholar,6,0,CE-SI,Euro American Conference on Telematics and Information Systems (h5=6)
EC,ACM conference on Economics and Computation,,relevante,,1,nenhum,51,0,CE-WEBMEDIA,
EC-TEL,European Conference on Technology Enhanced Learning,20,top10,,1,scholar,19,0,CE-IE,"European Conference on Technology Enhanced Learning"" (h5=20)"
ECAI,European Conference on Artificial Intelligence,62,top20,,1,scholar,36,1,CE-IA|CE-IC,Artificial Intelligence (h5=62) || European Conference on Artificial Intelligence (ECAI) (h5=44)
ECC,European Control Conference,29,relevante,,1,scholar,27,0,CE-R,European Control Conference (h5=29)
ECCO,European Chapter on Combinatorial Optimization,,relevante,,1,nenhum,,0,CE-ACO,
ECCTD,European Conference on Circuit Theory and Design,,relevante,,1,nenhum,8,0,CE-CCI,
ECCV,European Conference on Computer Vision,262,relevante,,1,scholar,206,0,CE-GRAPI|CE-RV,European Conference on Computer Vision (h5=262)
ECIR,European Conference on Information Retrieval,47,relevante,,1,scholar,42,0,CE-BD,European Conference on Advances in Information Retrieval (h5=47)
ECIS,European Conference on Information Systems,37,top10,,1,scholar,39,0,CE-BD|CE-SI,European Conference on Information Systems (h5=37)
ECML,European Conference on Machine Learning and Knowledge Discovery in Databases,41,top10,,1,scholar,45,0,CE-BD|CE-IC,European Conference on Machine Learning and Knowledge Discovery in Databases (h5=41)
ECML PKDD,European Conference on Machine Learning and Knowledge Discovery in Databases,41,relevante,,1,scholar,45,0,CE-IA,European Conference on Machine Learning and Knowledge Discovery in Databases (h5=41)
ECMR,European Conference on Mobile Robots,14,top20,,1,scholar,19,0,CE-R,European Conference on Mobile Robots (h5=14)
ECOOP,European Conference on Object-Oriented Programming,21,top10,,1,scholar,19,0,CE-ES|CE-LP,European Conference on Object-oriented Programming (ECOOP) (h5=21)
ECRTS,Euromicro Conference on Real-Time Systems,20,top10,,1,scholar,21,0,CE-ESC,Euromicro Conference on Real-Time Systems (h5=20)
ECSA,European Conference on Software Architecture,21,relevante,,1,scholar,20,0,CE-ES,European Conference on Software Architecture (h5=21)
ECSCW,ECSCW - European Conference on Computer Supported Cooperative Work (https://dblp.org/db/conf/ecscw/index.html),,top10,,1,nenhum,11,0,CE-SC,
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,,relevante,,1,nenhum,12,0,CE-IA,
EDBT,International Conference on Extending Database Technology,29,top10,,1,scholar,29,0,CE-BD,International Conference on Extending Database Technology (EDBT) (h5=29)
EDCC,European Dependable Computing Conference,16,top20,,1,scholar,14,0,CE-TF,European Dependable Computing Conference (h5=16)
EDM,International Conference on Educational Data Mining,31,top10,,1,scholar,32,0,CE-IE,International Conference on Educational Data Mining (EDM) (h5=31)
EDOC,"Enterprise Design, Operations and Computing",19,relevante,,1,scholar,21,0,CE-SI,"International IEEE Enterprise Distributed Object Computing Conference, EDOC (h5=19)"
EduComp,Simpósio Brasileiro de Educação em Computação,11,top10,,1,scholar,7,0,CE-EDUCOMP|CE-IE,Simpósio Brasileiro de Educação em Computação (EDUCOMP) (h5=11)
EDUCON,IEEE Global Engineering Education Conference,,top10,,1,nenhum,32,0,CE-EDUCOMP|CE-IE,
EDULEARN,International Conference on Education and New Learning Technologies,21,top20,,1,scholar,22,0,CE-IE,International Conference on Education and New Learning Technologies (h5=21)
EGOV,International Conference on Electronic Government,17,top10,,1,scholar,16,0,CE-IHC|CE-SI,International Conference on Electronic Government (h5=17)
EGOVIS,Electronic Government and the Information Systems Perspective,,relevante,,1,nenhum,0,0,CE-IHC|CE-SI,
EICS,Engineering Interactive Computing Systems,10,top20,,1,scholar,13,0,CE-IHC|CE-RV,ACM SIGCHI Symposium on Engineering Interactive Computing Systems (h5=10)
EJC,International Conference on Information Modeling and Knowledge,,relevante,,1,nenhum,7,0,CE-BD,
ELC,Encontro de Linguística de Corpus,,top20,,1,nenhum,0,0,CE-PLN,
EM-GIS,International Workshop on the Use of GIS in Emergency Management,,relevante,,1,nenhum,,0,CE-Geoinformática,
EMBC,International Conference of the IEEE Engineering in Medicine and Biology Society,47,top10,,1,scholar,48,0,CE-CAS|CE-GRAPI,"International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC (h5=47)"
EMBS,IEEE EMBS International Conference on Biomedical and Health Informatics,113,top10,,1,scholar,23,1,CE-CAS,IEEE Journal of Biomedical and Health Informatics (h5=113) || IEEE EMBS International Conference on Biomedical and Health Informatics (h5=17)
EMCIS,"European, Mediterranean, and Middle Eastern Conference on Information Systems",14,relevante,,1,scholar,14,0,CE-SI,"European, Mediterranean, and Middle Eastern Conference on Information Systems (h5=14)"
EMNDKLP,Conference on Empirical Methods in Natural Language Processing,218,top20,,1,scholar,193,1,CE-IA,Conference on Empirical Methods in Natural Language Processing (EMNLP) (h5=218) || Conference on Empirical Methods in Natural Language Processing: System Demonstrations (h5=35)
EMNLP,Conference on Empirical Methods in Natural Language Processing,218,top10,,1,scholar,193,1,CE-BD|CE-PLN|CE-SI,Conference on Empirical Methods in Natural Language Processing (EMNLP) (h5=218) || Conference on Empirical Methods in Natural Language Processing: System Demonstrations (h5=35)
ENANPAD,Encontro da Associação Nacional de Pós-Graduação e Pesquisa em Administração,,relevante,,1,nenhum,4,0,CE-SI,
ENASE,Evaluation of Novel Approaches to Software Engineering,15,relevante,,1,scholar,15,0,CE-ES,Evaluation of Novel Approaches to Software Engineering (ENASE) (h5=15)
ENIAC,Encontro Nacional de Inteligência Artificial e Computacional,9,top10,,1,scholar,9,0,CE-IA|CE-IC,Encontro Nacional de Inteligência Artificial e Computacional (h5=9)
EPIA,Portuguese Conference on Artificial Intelligence,62,relevante,,1,scholar,16,1,CE-GRAPI|CE-IC,Artificial Intelligence (h5=62) || Portuguese Conference on Artificial Intelligence (EPIA) (h5=11)
ER,International Conference on Conceptual Modeling,24,top10,,1,scholar,20,0,CE-BD|CE-ES|CE-Geoinformática|CE-SI,International Conference on Conceptual Modeling (h5=24)
ERES,Escola Regional de Engenharia de Software,4,relevante,,1,scholar,4,0,CE-ES,Escola Regional de Engenharia de Software (ERES) (h5=4)
ESA,European Symposium on Algorithms,22,top10,,1,scholar,25,0,CE-ACO,European Symposium on Algorithms (h5=22)
ESANN,European Symposium on Artificial Neural Networks,28,relevante,,1,scholar,18,1,CE-GRAPI,International Conference on Artificial Neural Networks (h5=28) || European Symposium on Artificial Neural Networks (ESANN) (h5=17)
eScience,IEEE eScience International Conference,14,top10,,1,scholar,15,0,CE-BD|CE-Geoinformática,IEEE International Conference on eScience (h5=14)
escolher,,,relevante,,1,nenhum,,0,CE-ACPAD,
ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,27,relevante,,1,scholar,28,0,CE-ES,"International Symposium on Empirical Software Engineering and Measurement, ESEM (h5=27)"
ESGSR,Eurographics Symposium on Rendering,,relevante,,1,nenhum,15,0,CE-GRAPI,
ESOP,European Symposium on Programming,24,top10,,1,scholar,23,0,CE-LP|GI-L,European Symposium on Programming (ESOP) (h5=24)
ESREF,European Symposium on Reliability of Electron Devices Failure Physics and Analysis,,relevante,,1,nenhum,1,0,CE-CCI,
ESSCIRC,European Solid State Circuits Conference,19,relevante,,1,scholar,21,0,CE-CCI,European Solid State Circuits Conference (ESSCIRC) (h5=19)
ESSDERC,European Solid State Device Research Conference,13,relevante,,1,scholar,14,0,CE-CCI,"European Solid State Device Research Conference, ESSDERC (h5=13)"
ESWC,European Semantic Web Conference,,relevante,,1,nenhum,41,0,CE-BD|CE-IA,
ESWS,Extended Semantic Web Conference,31,top20,,1,scholar,32,0,CE-WEBMEDIA,Extended Semantic Web Conference (h5=31)
ETC,Encontro de Teoria da Computação,2,relevante,,1,scholar,2,0,CE-ACO,Encontro de Teoria da Computação (ETC) (h5=2)
ETFA,IEEE International Conference on Emerging Technologies and Factory Automation,34,top20,,1,scholar,34,0,CE-ESC|CE-R,IEEE Conference on Emerging Technologies & Factory Automation (ETFA) (h5=34)
ETS,IEEE European Test Symposium,16,relevante,,1,scholar,16,0,CE-CCI,IEEE European Test Symposium (ETS) (h5=16)
EUC,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,,relevante,,1,nenhum,,0,CE-ESC,
EuCNC,European Conference on Networks and Communications,26,relevante,,1,scholar,24,0,CE-RESD,European Conference on Networks and Communications (h5=26)
EUROCOMB,"European Conference on Combinatorics, Graph Theory and Applications",9,top20,,1,scholar,12,0,CE-ACO,"European Conference on Combinatorics, Graph Theory and Applications (h5=9)"
EUROCRYPT,International Conference on Theory and Applications of Cryptographic Techniques,66,top10,,1,scholar,63,0,CE-SEG,International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT) (h5=66)
EuroHaptics,EuroHaptics,11,top20,,1,scholar,15,0,CE-IHC|CE-RV,EuroHaptics (h5=11)
EuroMPI,European MPI Users Group Meeting,,relevante,,1,nenhum,12,0,CE-ACPAD,
EUROPAR,European Conference on Parallel Computing,22,top20,,1,scholar,15,0,CE-ACPAD|CE-RESD,Parallel Computing (h5=22)
EUROPLOP,European Conference on Pattern Languages of Programs,14,relevante,,1,scholar,13,0,CE-ES,European Conference on Pattern Languages of Programs (h5=14)
EuroS&P,IEEE European Symposium on Security and Privacy,52,top10,,1,scholar,47,0,CE-SEG,IEEE European Symposium on Security and Privacy (h5=52)
EuroSPI,European Conference on Software Process Improvement,17,relevante,,1,scholar,17,1,CE-ES,Conference on European System & Software Process Improvement and Innovation (EuroSPI) (h5=17) || International Conference On Software Process Improvement (h5=5)
EUROSYS,European Conference on Computer Systems,52,top10,,1,scholar,48,0,CE-ESC|CE-RESD|CE-TF,ACM European Conference on Computer Systems (h5=52)
EuroVis,EG/VGTC Conference on Visualization,23,top10,,1,scholar,17,0,CE-GRAPI,IEEE Visualization Conference (h5=23)
EUSIPCO,European Signal Processing Conference,35,relevante,,1,scholar,36,0,CE-GRAPI,European Signal Processing Conference (EUSIPCO) (h5=35)
EWSDN,European Workshop on Software Defined Networks,,relevante,,1,nenhum,,0,CE-RESD,
EWSN,European Conference on Wireless Sensor Networks,16,relevante,,1,scholar,17,0,CE-RESD,INTERNATIONAL CONFERENCE ON EMBEDDED WIRELESS SYSTEMS AND NETWORKS (h5=16)
FACS,International Conference on Formal Aspects of Component Software,,top20,,1,nenhum,19,0,CE-MF,
FASE,Fundamental Approaches to Software Engineering,19,top10,,1,scholar,18,0,CE-ES|CE-MF,Fundamental Approaches to Software Engineering (h5=19)
FASE4Games,Foundations of Applied Software Engineering for Games Workshop,,top20,,1,nenhum,0,0,CE-JOGOS,
FAST,USENIX Conference on File and Storage Technologies,40,relevante,,1,scholar,39,0,CE-BD,Conference on File and Storage Technologies (FAST) (h5=40)
FC,International Conference on Financial Cryptography and Data Security,50,top10,,1,scholar,47,0,CE-SEG,International Conference on Financial Cryptography and Data Security (h5=50)
FCCM,IEEE Annual Symposium on Field-Programmable Custom Computing Machines,25,top20,,1,scholar,28,0,CE-CCI|CE-ESC,IEEE Symposium on Field-Programmable Custom Computing Machines (h5=25)
FCT,International Symposium on Fundamentals of Computation Theory,,relevante,,1,nenhum,,0,CE-ACO,
FDG,International Conference on the Foundations of Digital Games,,top10,,1,nenhum,25,0,CE-JOGOS,
FDL,Forum on Specification and Design Languages,,relevante,,1,nenhum,1,0,CE-CCI|CE-LP,
FEDCSIS,Federated Conference on Computer Science and Information Systems,17,relevante,,1,scholar,22,1,CE-SI,Annals of Computer Science and Information Systems (h5=17) || International Conference on Advanced Computer Science and Information Systems (h5=15) || Journal of Computer Science and Information Systems (JCoInS) (h5=5)
FG,IEEE International Conference on Automatic Face & Gesture Recognition,40,relevante,,1,scholar,43,0,CE-GRAPI|CE-RV,IEEE International Conference on Automatic Face & Gesture Recognition (h5=40)
FiCloud,International Conference on Future Internet of Things and Cloud,11,relevante,,1,scholar,21,0,CE-RESD,International Conference on Future Internet of Things and Cloud (FiCloud) (h5=11)
FIE,IEEE Frontiers in Education Conference,30,top10,,1,scholar,26,0,CE-EDUCOMP|CE-IE,Frontiers in Education Conference (h5=30)
FIMH,Functional Imaging and Modeling of the Heart,12,relevante,,1,scholar,13,0,CE-GRAPI,Functional Imaging and Modeling of the Heart (h5=12)
FLOPS,International Symposium on Functional and Logic Programming,,top20,,1,nenhum,4,0,GI-L,
FM,Formal Methods,17,top10,,1,scholar,19,0,CE-MF,Formal Methods (h5=17)
FMCAD,International Conference on Formal Methods in Computer-Aided Design,19,top10,,1,scholar,17,0,CE-MF,Formal Methods in Computer-Aided Design (FMCAD) (h5=19)
FNWF,IEEE Future Networks World Forum,13,relevante,,1,scholar,4,0,CE-RESD,IEEE Future Networks World Forum (h5=13)
FOCS,IEEE Annual Symposium on Foundations of Computer Science,62,top10,,1,scholar,55,1,CE-ACO,IEEE Symposium on Foundations of Computer Science (FOCS) (h5=62) || International Journal of Foundations of Computer Science (h5=14)
FOIS,International Conference on Formal Ontology in Information Systems,,relevante,,1,nenhum,,0,CE-BD,
FOMI,International Workshop on Formal Ontologies Meet Industry,11,relevante,,1,scholar,11,0,CE-BD,International Workshop on Formal Ontologies Meet Industry (h5=11)
FoSSaCS,International Conference on Foundations of Software Science and Computation Structures,15,top10,,1,scholar,17,0,GI-L,International Conference on Foundations of Software Science and Computation Structures (FoSSaCS) (h5=15)
FPGA,Symposium on Field Programmable Gate Arrays,39,top10,,1,scholar,40,0,CE-ACPAD|CE-CCI|CE-ESC,Symposium on Field Programmable Gate Arrays (FPGA) (h5=39)
FPL,International Conference on Field Programmable Logic and Applications,26,top10,,1,scholar,28,0,CE-ACPAD|CE-CCI|CE-ESC,International Conference on Field Programmable Logic and Applications (h5=26)
FPT,International Conference on Field-Programmable Technology,19,relevante,,1,scholar,21,0,CE-CCI,International Conference on Field-Programmable Technology (h5=19)
FROCOS,International Symposium on Frontiers of Combining System,,top20,,1,nenhum,5,0,GI-L,
FSCD,International Conference on Formal Structures for Computation and Deduction,16,top10,,1,scholar,10,0,GI-L,International Conference on Formal Structures for Computation and Deduction (h5=16)
FSE,Fast Software Encryption,,relevante,,1,nenhum,8,0,CE-SEG,
FSE/ESEC,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,69,top10,,1,scholar,62,0,CE-ES,ACM SIGSOFT International Symposium on Foundations of Software Engineering (h5=69)
FSR,Conference on Field and Service Robotics,,relevante,,1,nenhum,,0,CE-R,
FSTTCS,Foundations of Software Technology and Theoretical Computer Science,13,relevante,,1,scholar,11,0,CE-ACO,Foundations of Software Technology and Theoretical Computer Science (FSTTCS) (h5=13)
FUN,International Conference on Fun with Algorithms,,relevante,,1,nenhum,,0,CE-ACO,
FUSION,International Conference on Information Fusion,143,relevante,,1,scholar,25,1,CE-R,Information Fusion (h5=143) || International Conference on Information Fusion (h5=23)
FUZZ,IEEE International Conference on Fuzzy Systems (FUZZ),111,top10,,1,scholar,25,1,CE-IA|CE-IC,IEEE Transactions on Fuzzy Systems (h5=111) || International Journal of Fuzzy Systems (h5=49) || Fuzzy Sets and Systems (h5=49) || IEEE International Conference on Fuzzy Systems (FUZZ) (h5=25)
GALA,Games and Learning Alliance Conference,,top20,,1,nenhum,13,0,CE-JOGOS,
GAS,International Workshop on Games and Software Engineering,,top20,,1,nenhum,4,0,CE-JOGOS,
GD,International Symposium on Graph Drawing and Network Visualization,,relevante,,1,nenhum,13,0,CE-ACO,
GECCO,Conference on Genetic and Evolutionary Computation,49,top10,,1,scholar,47,0,CE-GRAPI|CE-IA|CE-IC,Conference on Genetic and Evolutionary Computation (h5=49)
GEM,"IEEE Games, Entertainment, Media Conference",5,top20,,1,scholar,4,0,CE-JOGOS,Estudos da Língua (gem) (h5=5)
GeoAI,International Workshop on AI for Geographic Knowledge Discovery,,relevante,,1,nenhum,,0,CE-Geoinformática,
GEOBIA,Geographic Object-based Image Analysis (GEOBIA),,top20,,1,nenhum,,0,CE-Geoinformática,
GeoInfo,Brazilian Symposium on Geoinformatics,4,top10,,1,scholar,10,0,CE-BD|CE-Geoinformática,Brazilian Symposium on GeoInformatics (h5=4)
GEOprocessing,"International Conference on Advanced Geographic Information Systems, Applications, and Services (GEOProcessing)",,top20,,1,nenhum,,0,CE-Geoinformática,
GeoSim,International Workshop on Geospatial Simulation,,relevante,,1,nenhum,,0,CE-Geoinformática,
GI,Graphics Interface Conference,13,top20,,1,scholar,15,0,CE-GRAPI|CE-IHC|CE-RV,Graphics Interface Conference (h5=13)
GIR,Workshop on Geographic Information Retrieval,,top20,,1,nenhum,7,0,CE-Geoinformática,
GIScience,International Conference on Geographic Information Science,11,top10,,1,scholar,8,0,CE-Geoinformática,International Conference on Geographic Information Science (h5=11)
GLOBECOM,IEEE Global Communications Conference,8,top10,,1,scholar,64,1,CE-RESD,Global Conference on Information Technologies and Communications (h5=8) || Global Conference on Communications and Information Technologies (h5=4)
GLSVLSI,Great Lakes Symposium on VLSI,24,relevante,,1,scholar,26,0,CE-CCI,Great Lakes Symposium on VLSI (h5=24)
GPCE,Generative Programming: Concepts and Experiences,,top20,,1,nenhum,10,0,CE-ES|CE-LP,
GRAPP,International Conference on Computer Graphics Theory and Applications,11,top20,,1,scholar,10,1,CE-GRAPI|CE-RV,"International Conference on Computer Graphics Theory and Applications (GRAPP) (h5=11) || International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (h5=10)"
GreenCom,IEEE International Conference on Green Computing and Communications,,relevante,,1,nenhum,,0,CE-RESD,
GROUP,GROUP - International Conference on Supporting Group Work,53,top10,,1,scholar,14,1,CE-SC,"Group Processes & Intergroup Relations (h5=53) || Group & Organization Management (h5=44) || Small Group Research (h5=30) || Group Decision and Negotiation (h5=27) || Annual Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL) (h5=26) || Group Dynamics: Theory, Research, and Practice (h5=21) || The Journal for Specialists in Group Work (h5=18) || Main Group Chemistry (h5=15) || International Journal of Group Psychotherapy (h5=15) || International Journal on Minority and Group Rights (h5=14) || Main Group Metal Chemistry (h5=14) || Special Interest Group on Computer Personnel Research Annual Conference (SIGCPR) (h5=13) || International Phytoplasmologist Working Group Meeting (h5=13) || Group Analysis (h5=12) || Journal of Group Theory (h5=12) || IUCN Otter Specialist Group Bulletin (h5=9) || IEEE International Conference on Group IV Photonics (GFP) (h5=8) || International Journal of Group Theory (h5=7) || International Conference on the Assessment of Animal Welfare at the Farm and Group Level (h5=3)"
GVIZ,Workshop on New Directions in Geovisual Analytics,,relevante,,1,nenhum,,0,CE-Geoinformática,
HAPTICS,IEEE Haptics Symposium,38,top10,,1,scholar,21,0,CE-IHC|CE-R|CE-RV,IEEE Transactions on Haptics (h5=38)
HASE,IEEE High Assurance Systems Engineering Symposium,,top20,,1,nenhum,15,0,CE-TF,
HCII,International Conference on Human-Computer Interaction,88,relevante,,1,scholar,41,1,CE-IHC|CE-RV,Proceedings of the ACM on Human-Computer Interaction (h5=88) || Human–Computer Interaction (h5=39) || International Conference on Human-Computer Interaction (h5=14) || International Conference on Human Computer Interaction (h5=10)
HCOMP,AAAI Conference on Human Computation and Crowdsourcing,,top20,,1,nenhum,22,0,CE-IHC|CE-SC|CE-SI,
HCSE,International Working Conference on Human-Centered Software Engineering,,relevante,,1,nenhum,0,0,CE-IHC,
Healthcom,"IEEE International Conference on e-Health Networking, Applications and Services",13,top10,,1,scholar,13,0,CE-CAS|CE-RESD,"IEEE International Conference on e-Health Networking, Applications and Services (Healthcom) (h5=13)"
HEALTHINF,International Conference on Health Informatics,49,top20,,1,scholar,17,1,CE-CAS,Health Informatics Journal (h5=49) || International Conference on Health Informatics (HEALTHINF) (h5=18) || Frontiers in Health Informatics (h5=15) || International Conference on Medical and Health Informatics (h5=14) || Journal of Health Informatics (h5=9)
HICSS,Hawaii International Conference on System Sciences,53,top20,,1,scholar,59,0,CE-ES|CE-IHC|CE-SC|CE-SI,Hawaii International Conference on System Sciences (h5=53)
HIPC,IEEE International Conference on High Performance Computing,26,top20,,1,scholar,14,0,CE-ACPAD,International Conference on High Performance Computing (h5=26)
HIS,International Conference on Hybrid Intelligent Systems,14,relevante,,1,scholar,15,0,CE-IC,International Conference on Hybrid Intelligent Systems (h5=14)
HOST,IEEE International Symposium on Hardware-Oriented Security and Trust,24,relevante,,1,scholar,25,0,CE-SEG,Hardware-Oriented Security and Trust (h5=24)
HOTNETS,ACM Workshop on Hot Topics in Networks,23,top20,,1,scholar,23,0,CE-RESD,ACM Workshop on Hot Topics in Networks (h5=23)
HPCA,IEEE International Symposium on High Performance Computer Architecture,59,top10,,1,scholar,50,0,CE-ACPAD,IEEE International Symposium on High Performance Computer Architecture (h5=59)
HPCC,International Conference on High Performance Computing and Communications,19,top20,,1,scholar,20,0,CE-ACPAD,IEEE International Conference on High Performance Computing and Communications (h5=19)
HPCS,International Conference on High Performance Computing & Simulation,,relevante,,1,nenhum,13,0,CE-ACPAD,
HPDC,International Symposium on High Performance Distributed Computing,23,top20,,1,scholar,21,0,CE-ACPAD|CE-RESD,ACM International Symposium on High Performance Distributed Computing (h5=23)
HRI,ACM/IEEE International Conference on Human Robot Interaction,52,top10,,1,scholar,46,0,CE-IHC|CE-R|CE-RV,ACM/IEEE International Conference on Human Robot Interaction (h5=52)
HS,Haskell Symposium,,relevante,,1,nenhum,7,0,CE-LP,
HT,ACM Conference on Hypertext and Social Media,,relevante,,1,nenhum,0,0,CE-IHC|CE-SI,
Humanoids,IEEE RAS International Conference on Humanoid Robot,,top10,,1,nenhum,33,0,CE-R,
