// Gerado por `qualis coletar-eventos`. Edite à mão se precisar:
// linhas iniciadas por // são ignoradas, e a coluna h5 vence.
// h5_fonte=scholar é o dado que o Documento de Área manda usar;
// h5_fonte=sbc-2024 é a coluna da planilha da SBC, que está
// desatualizada e serve só como referência.
// ambiguo=1: o Scholar tem mais de uma entrada para o evento,
// com h5 diferentes; ficamos com o maior. Confira esses casos.
// anos_tradicao fica vazio: não há fonte verificável em massa.
sigla,nome,h5,ce_sbc,anos_tradicao,segue_gt_capes,h5_fonte,h5_sbc,ambiguo,ces,entradas_scholar
ACMSOCC,ACM Symposium on Cloud Computing,39,relevante,,1,scholar,35,1,CE-RESD,ACM Symposium on Cloud Computing (h5=39) || IEEE International Conference on Cloud Computing (CLOUD) (h5=24)
ACNS,Applied Cryptography and Network Security,28,top20,,1,scholar,28,0,CE-SEG,Applied Cryptography and Network Security (h5=28)
ACRA,Australasian Conference on Robotics and Automation,129,relevante,,1,scholar,,0,CE-R,IEEE International Conference on Robotics and Automation (h5=129)
ACSAC,Computer Security Applications Conference,40,top20,,1,scholar,36,0,CE-SEG,Computer Security Applications Conference (h5=40)
ADBIS,European Conference on Advances in Databases and Information Systems,14,top20,,1,scholar,13,0,CE-BD|CE-SI,Advances in Databases and Information Systems (ADBIS) (h5=14)
ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,,relevante,,1,nenhum,,0,CE-RESD,
AE-SBSI,Anais Estendidos do Simpósio Brasileiro de Sistemas de Informação,,top20,,1,nenhum,5,0,CE-SI,
AES,International Convention of the Audio Engineering Society,,top20,,1,nenhum,,0,CE-CM,
AES Brasil,Congresso de Engenharia de Áudio da Audio Engineering Society Brasil.,,relevante,,1,nenhum,,0,CE-CM,
AES-ICSA,AES International Conference on Semantic Audio,,top20,,1,nenhum,,0,CE-CM,
AGILE,AGILE Conference on Geo-information Science,23,top10,,1,scholar,10,1,CE-Geoinformática,International Conference on Agile Processes in Software Engineering and Extreme Programming (XP) (h5=23) || International Journal of Agile Systems and Management (h5=16) || AGILE: GIScience Series (h5=14) || International Conference on Geographic Information Science (h5=11)
AH,Augmented Human International Conference,19,top10,,1,scholar,20,0,CE-IHC|CE-RV,Augmented Human International Conference (AH) (h5=19)
AICT,International Conference on Application of Information and Communication Technologies,17,relevante,,1,scholar,16,0,CE-SI,IEEE International Conference on Application of Information and Communication Technologies (AICT) (h5=17)
AIED,International Conference on Artificial Intelligence in Education,38,top10,,1,scholar,31,0,CE-IA|CE-IE|CE-IHC,Artificial Intelligence in Education (h5=38)
AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,23,top10,,1,scholar,21,0,CE-IA|CE-JOGOS,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment (h5=23)
AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,20,relevante,,1,scholar,17,0,CE-R,IEEE/ASME International Conference on Advanced Intelligent Mechatronics (h5=20)
AIME,Conference on Artificial Intelligence in Medicine,83,top20,,1,scholar,19,0,CE-CAS,Artificial Intelligence in Medicine (h5=83)
AIML,Advances in Modal Logic,10,top20,,1,scholar,8,0,GI-L,Conference on Advances in Modal Logic (h5=10)
AINA,IEEE International Conference on Advanced Information Networking and Applications,21,relevante,,1,scholar,22,1,CE-BD|CE-RESD|CE-TF,"International Conference on Advanced Information Networking and Applications (AINA) (h5=21) || International Conference on Advanced Information Networking and Applications-Workshops, AINAW (h5=15)"
AISTATS,International Conference on Artificial Intelligence and Statistics,101,top20,,1,scholar,100,0,CE-IA|CE-IC,International Conference on Artificial Intelligence and Statistics (h5=101)
AIware,ACM International Conference on AI-powered Software,,relevante,,1,nenhum,1,0,CE-ES,
AIxVR,IEEE International Conference on Artificial Intelligence & eXtended and Virtual Reality,,top20,,1,nenhum,,0,CE-RV,
